a,1,10
b,2,46
c,3,24
d,9,11
e,2,23
f,8,48
g,3,6
h,9,6
i,7,29
j,5,16
k,4,11
l,8,42
m,1,15
n,3,16
o,0,11
p,8,21
q,2,16
r,9,22
s,8,33
t,3,9
u,5,43
v,9,35
w,6,12
x,4,37
y,2,15
z,6,34
aa,0,0
ab,4,23
ac,9,1
ad,2,26
ae,7,27
af,7,3
ag,1,12
ah,2,32
ai,0,38
aj,4,41
ak,0,30
al,7,19
am,3,24
an,7,16
ao,6,20
ap,7,24
aq,7,28
ar,4,47
as,1,45
at,9,0
au,1,0
av,9,30
aw,9,30
ax,2,25
ay,7,30
az,4,44
ba,1,22
bb,0,39
bc,6,35
bd,4,29
be,8,6
bf,0,29
bg,4,2
bh,0,24
bi,4,5
bj,7,48
bk,8,41
bl,0,6
bm,7,40
bn,3,10
bo,5,26
bp,2,44
bq,8,17
br,2,9
bs,8,42
bt,1,47
bu,9,37
bv,9,49
bw,3,10
bx,5,48
by,8,5
bz,9,16
ca,5,6
cb,7,39
cc,2,27
cd,5,2
ce,3,6
cf,5,34
cg,8,17
ch,6,47
ci,5,30
cj,1,28
ck,9,47
cl,7,24
cm,5,47
cn,9,15
co,1,32
cp,9,20
cq,8,34
cr,4,33
cs,6,22
ct,7,34
cu,3,42
cv,6,44
cw,5,27
cx,3,24
cy,9,44
cz,0,4
da,0,31
db,8,17
dc,6,8
dd,3,20
de,8,2
df,5,10
dg,6,47
dh,6,7
di,1,39
dj,1,34
dk,5,33
dl,6,1
dm,8,31
dn,0,11
do,4,43
dp,6,45
dq,4,13
dr,7,6
ds,1,26
dt,0,6
du,0,2
dv,9,1
dw,0,2
dx,3,31
dy,9,49
dz,5,24
ea,9,9
eb,8,45
ec,5,16
ed,5,23
ee,4,14
ef,8,14
eg,5,42
eh,3,13
ei,8,38
ej,5,20
ek,8,7
el,3,14
em,0,4
en,7,13
eo,1,2
ep,2,0
eq,1,49
er,9,49
es,3,36
et,8,37
eu,5,15
ev,9,1
ew,9,48
ex,0,22
ey,7,2
ez,3,33
fa,1,38
fb,5,34
fc,3,16
fd,4,24
fe,4,16
ff,1,7
fg,9,3
fh,8,36
fi,0,24
fj,7,25
fk,5,29
fl,3,11
fm,4,34
fn,8,18
fo,8,33
fp,1,0
fq,2,2
fr,3,40
fs,7,39
ft,3,22
fu,9,22
fv,0,34
fw,0,24
fx,3,37
fy,1,13
fz,1,22
ga,5,14
gb,0,38
gc,7,11
gd,4,0
ge,1,8
gf,1,31
gg,7,32
gh,9,47
gi,3,15
gj,5,27
gk,4,30
gl,8,2
gm,5,41
gn,9,45
go,3,1
gp,6,3
gq,4,41
gr,4,29
